horse_name,horse_url,country_of_origin,age,color,sex,import_type,season_stakes,total_stakes,no_123_starts,no_starts_in_10,stable_loc,trainer,owner,current_rating,sos_rating,sire,dam,dam_sire,retired
JOY MASTER(B222),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B222,AUS,7,Bay,Gelding,PP,"$124,800 ","$2,590,670 ",4-1-3-45,2,Hong Kong(06/05/2021),D E Ferraris,"Fong Chi Keung, Chan Chu Woon & Tam Kin Sang",40,44,Rogano,Irish Hut,Quest For Fame,FALSE
ART OF RAW(V368),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2015_V368,FR,-1,Bay,Gelding,PP,,"$1,264,425 ",1-3-1-38,-1,,,Mr & Mrs Chan Chi Kong,23,-1,Myboycharlie,Tehamana,Pleasantly Perfect,TRUE
THE FULL BLOOM(V243),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2015_V243,GB,-1,,,PP,,"$3,760,725 ",6-1-5-76,-1,,,Gary Lee Sai Ho,20,-1,Zebedee,Break Of Dawn,Mt Livermore,TRUE
WHO'S HORSE(C233),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C233,NZ,6,Bay,Gelding,PPG,$0 ,"$225,955 ",0-0-1-19,1,Hong Kong(10/11/2021),W Y So,Frederick Ma Si Hang & Eric Tsang Chi Wai,17,24,All Too Hard,Zuzela,Redoute's Choice,FALSE
GREEN GENERATION(C355),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C355,NZ,-1,Chestnut,Gelding,PPG,,"$392,875 ",0-1-1-14,-1,,,One More Round Syndicate,27,-1,Mastercraftsman,Kim Possible,Volksraad,TRUE
GREAT SMART(C319),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C319,AUS,-1,Bay,Gelding,PP,,"$1,254,125 ",2-2-1-29,-1,,,"Joe Ma Tin Chung, Ray Ma Tin Ming & Wilson Law Chi Yin",27,-1,Fastnet Rock,Pear Tart,Dehere,TRUE
AMAZING AGILITY(V192),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2015_V192,FR,-1,Bay,Gelding,PP,,"$4,107,740 ",4-4-6-65,-1,,,Focuson Syndicate,38,-1,King's Best,Wings Of Glory,Monsun,TRUE
BRAVERY AND POWER(C295),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C295,SAF,-1,Brown,Gelding,PP,,"$71,250 ",0-0-0-23,-1,,,Wallace Cheung Kwong Yung,13,-1,Gimmethegreenlight,The Taj,National Assembly,TRUE
ENJOYABLE SUCCESS(B150),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B150,IRE,-1,Bay,Gelding,PP,,"$1,887,495 ",2-4-2-48,-1,,,Gratifier Syndicate,25,-1,Frankel,Drops,Kingmambo,TRUE
FORTUNE BUDDY(B444),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B444,AUS,-1,Brown,Gelding,ISG,,$0 ,0-0-0-14,-1,,,"Alan Tsang Ping Sing, Derek Tsang Wai Tik, Fiona Tsang Wai Sze & Claudia Tsang Hei Man",9,-1,Medaglia d'Oro,Oh Eight Hundred,Diatribe,TRUE
FORTUNE PATROL(A245),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A245,IRE,7,Bay,Gelding,PP,$0 ,"$1,833,855 ",2-2-6-47,1,Hong Kong(21/01/2017),A T Millard,Alan Chan Yau Yuet & Chris Chan Cheong Hoi,27,27,Rip Van Winkle,Gwyllion,Red Ransom,FALSE
WILLFUL(C047),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C047,GB,-1,Bay,Gelding,PPG,,$0 ,0-0-0-10,-1,,,Chan Ho Yee & Alfred Chan Ngo Fung,28,-1,Garswood,Delta Diva,Victory Gallop,TRUE
MONEYMORE(B182),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B182,AUS,-1,Bay,Gelding,PP,,"$1,300,375 ",2-0-3-32,-1,,,Milk Tea Syndicate,31,-1,Reward For Effort,Just Stunning,Snippets,TRUE
TELECOM MISSILE(D209),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D209,AUS,5,Bay,Gelding,PPG,$0 ,"$855,000 ",1-2-0-18,1,Hong Kong(22/09/2021),C Fownes,Ian Cheung Lap Yan,32,33,Smart Missile,Twisted Heart,Distorted Humor,FALSE
ADONIS(A324),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2016_A324,AUS,-1,Bay,Gelding,ISG,,"$2,714,260 ",3-4-4-41,-1,,,Johnson Chen,42,-1,Exceed And Excel,Mythical Play,Defensive Play,TRUE
FOX CHEUNGER(B187),https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2017_B187,AUS,7,Chestnut,Gelding,PPG,"$117,000 ","$2,216,800 ",3-2-5-40,1,Hong Kong(19/11/2021),K W Lui,Siu Leun 90 Syndicate,35,34,Hussonet,Belle d'Orleans,General Nediym,FALSE
