Date,Loc.,Race No.,Type,Going,Course,Purse,Place,No.,Horse,Jockey,Trainer,Act. Wt.,Decl. Horse Wt.,Draw,LBW,Running Pos.,Finish Time,Win Odds
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",1,5,JOY MASTER(B222),J Moreira,C Fownes,128,1070,3,"""-""",7 8 6 1,01:35.9,2.6
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",2,11,ART OF RAW(V368),H T Mo,C W Chang,115,1085,8,"""3/4""",2 2 1 2,01:36.0,13
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",3,10,THE FULL BLOOM(V243),K C Leung,C H Yip,119,1085,1,"""1-1/4""",5 3 3 3,01:36.1,7.3
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",4,1,WHO'S HORSE(C233),K Teetan,K H Ting,133,1140,6,"""1-1/4""",1 1 2 4,01:36.1,7.2
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",5,7,GREEN GENERATION(C355),C Y Ho,C W Chang,126,1052,7,"""1-1/2""",9 11 10 5,01:36.1,36
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",6,8,GREAT SMART(C319),M Chadwick,K L Man,124,1199,11,"""1-3/4""",4 4 4 6,01:36.2,7.7
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",7,6,AMAZING AGILITY(V192),H W Lai,L Ho,127,975,9,"""2""",6 6 9 7,01:36.2,19
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",8,9,BRAVERY AND POWER(C295),M F Poon,W Y So,119,1055,4,"""2-3/4""",3 5 5 8,01:36.3,61
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",9,2,ENJOYABLE SUCCESS(B150),B Shinn,C W Chang,130,1082,5,"""3-3/4""",12 9 8 9,01:36.5,15
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",10,12,FORTUNE BUDDY(B444),M L Yeung,T P Yung,116,1089,2,"""5-1/4""",8 7 7 10,01:36.7,58
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",11,3,FORTUNE PATROL(A245),A Hamelin,A T Millard,129,1031,12,"""5-1/2""",11 12 12 11,01:36.8,6
9/6/2020,ST,1,Class 5 - 1600M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",12,4,WILLFUL(C047),H N Wong,Y S Tsui,126,1076,10,"""7-1/4""",10 10 11 12,01:37.1,126
9/6/2020,ST,2,Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",1,11,MONEYMORE(B182),M L Yeung,D A Hayes,119,1065,8,"""-""",9 7 1,01:09.7,4.2
9/6/2020,ST,2,Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",2,3,TELECOM MISSILE(D209),Z Purton,C H Yip,132,1266,2,"""1/2""",5 5 2,01:09.8,13
9/6/2020,ST,2,Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",3,1,ADONIS(A324),K Teetan,D J Whyte,133,1088,11,"""1-1/4""",10 9 3,01:09.9,5.6
9/6/2020,ST,2,Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",4,7,FOX CHEUNGER(B187),J Moreira,K W Lui,122,1005,5,"""1-3/4""",7 6 4,01:10.0,9.1
9/6/2020,ST,2,Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",5,4,SPEEDY DRAGON(B185),B Shinn,D J Hall,129,1058,13,"""2-1/2""",12 13 5,01:10.1,15
9/6/2020,ST,2,Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",6,8,ROYAL CHOCOLATE(A356),A Badel,A T Millard,122,1141,9,"""2-3/4""",13 12 6,01:10.2,22
9/6/2020,ST,2,Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",7,5,U W BROTHER(C389),C Schofield,Y S Tsui,126,1143,4,"""3-1/4""",1 1 7,01:10.2,6.6
9/6/2020,ST,2,Class 5 - 1200M - (40-0),GOOD,"TURF - ""A"" Course","HK$ 750,000",8,12,JIMSON THE DRAGON(C017),K H Chan,C H Yip,110,1054,1,"""5-1/4""",4 3 8,01:10.6,21
